Instruction,GPR,Data
0x0010001b,,
0x01f01013,,
0x000a10b7,x1,0x00000000000a1000
0x99f0809b,x1,0x00000000000a099f
0x00c09093,x1,0x00000000a099f000
0x90108093,x1,0x00000000a099e901
0x593f2137,x2,0x00000000593f2000
0x1841011b,x2,0x00000000593f2184
0x00000193,x3,0x0000000000000000
0x00a00213,x4,0x000000000000000a
0x0010029b,x5,0x0000000000000001
0x01f29293,x5,0x0000000080000000
0x00000313,x6,0x0000000000000000
0x683b13b7,x7,0x00000000683b1000
0x3263839b,x7,0x00000000683b1326
0x0010041b,x8,0x0000000000000001
0x01f41413,x8,0x0000000080000000
0x0010049b,x9,0x0000000000000001
0x01f49493,x9,0x0000000080000000
0x00000513,x10,0x0000000000000000
0x6e6805b7,x11,0x000000006e680000
0x7a85859b,x11,0x000000006e6807a8
0x00040637,x12,0x0000000000040000
0xd2f6061b,x12,0x000000000003fd2f
0x00e61613,x12,0x00000000ff4bc000
0x8d160613,x12,0x00000000ff4bb8d1
0x000f56b7,x13,0x00000000000f5000
0x8836869b,x13,0x00000000000f4883
0x00c69693,x13,0x00000000f4883000
0x00d68693,x13,0x00000000f488300d
0x00300713,x14,0x0000000000000003
0x4a83a7b7,x15,0x000000004a83a000
0x9f47879b,x15,0x000000004a8399f4
0x00100813,x16,0x0000000000000001
0x0010089b,x17,0x0000000000000001
0x01f89893,x17,0x0000000080000000
0x0010091b,x18,0x0000000000000001
0x01f91913,x18,0x0000000080000000
0x00500993,x19,0x0000000000000005
0x00100a1b,x20,0x0000000000000001
0x01fa1a13,x20,0x0000000080000000
0x00000a93,x21,0x0000000000000000
0x00100b1b,x22,0x0000000000000001
0x01fb1b13,x22,0x0000000080000000
0x0007fc37,x24,0x000000000007f000
0xea1c0c1b,x24,0x000000000007eea1
0x00dc1c13,x24,0x00000000fdd42000
0x7fac0c13,x24,0x00000000fdd427fa
0x0003ecb7,x25,0x000000000003e000
0x1c5c8c9b,x25,0x000000000003e1c5
0x00ec9c93,x25,0x00000000f8714000
0x8cac8c93,x25,0x00000000f87138ca
0x00000d13,x26,0x0000000000000000
0x00100d9b,x27,0x0000000000000001
0x01fd9d93,x27,0x0000000080000000
0x0006aeb7,x29,0x000000000006a000
0x909e8e9b,x29,0x0000000000069909
0x00de9e93,x29,0x00000000d3212000
0x1dbe8e93,x29,0x00000000d32121db
0x00008f37,x30,0x0000000000008000
0x843f0f1b,x30,0x0000000000007843
0x011f1f13,x30,0x00000000f0860000
0xe08f0f13,x30,0x00000000f085fe08
0x00100f9b,x31,0x0000000000000001
0x01ff9f93,x31,0x0000000080000000
0x00017e17,x28,0x0000000080017174
0xb0ce0e13,x28,0x0000000080016c80
0xfff00f93,x31,0xffffffffffffffff
0xfff00f1b,x30,0xffffffffffffffff
0x03ff1f13,x30,0x8000000000000000
0x0121f937,x18,0x000000000121f000
0x3959091b,x18,0x000000000121f395
0x00d91913,x18,0x000000243e72a000
0x32990913,x18,0x000000243e72a329
0x00d91913,x18,0x000487ce54652000
0xfc590913,x18,0x000487ce54651fc5
0x00c91913,x18,0x487ce54651fc5000
0x57e90913,x18,0x487ce54651fc557e
0x00139a37,x20,0x0000000000139000
0x7bda0a1b,x20,0x00000000001397bd
0x00da1a13,x20,0x0000000272f7a000
0xe35a0a13,x20,0x0000000272f79e35
0x00da1a13,x20,0x00004e5ef3c6a000
0x583a0a13,x20,0x00004e5ef3c6a583
0x00da1a13,x20,0x09cbde78d4b06000
0x6bfa0a13,x20,0x09cbde78d4b066bf
0xfff00993,x19,0xffffffffffffffff
0xfff00e93,x29,0xffffffffffffffff
0xfff0089b,x17,0xffffffffffffffff
0x03f89893,x17,0x8000000000000000
0xfff00613,x12,0xffffffffffffffff
0xfff0051b,x10,0xffffffffffffffff
0x03f51513,x10,0x8000000000000000
0xfff00193,x3,0xffffffffffffffff
0x033f5a33,x20,0x0000000000000000
0x03d1f63b,x12,0x0000000000000000
0x00000013,,
0x02a9e93b,x18,0xffffffffffffffff
0x00af01b3,x3,0x0000000000000000
0x00000013,,
0x2a38c617,x12,0x00000000aa38c200
0x03df593b,x18,0x0000000000000000
0x0328a533,x10,0x0000000000000000
0x02a61933,x18,0x0000000000000000
0x0036053b,x10,0xffffffffaa38c200
0x497e8f1b,x30,0x0000000000000496
0x0328a533,x10,0x0000000000000000
0x497e8f1b,x30,0x0000000000000496
0x0036053b,x10,0xffffffffaa38c200
0x0036053b,x10,0xffffffffaa38c200
0x03df593b,x18,0x0000000000000000
0x02ca453b,x10,0x0000000000000000
0x411e8f3b,x30,0xffffffffffffffff
0x0328a533,x10,0x0000000000000000
0x03d57eb3,x29,0x0000000000000000
0x411e8f3b,x30,0x0000000000000000
0x03d57eb3,x29,0x0000000000000000
0x03d57eb3,x29,0x0000000000000000
0x02ca453b,x10,0x0000000000000000
0x02a9e93b,x18,0xffffffffffffffff
0xfff00593,x11,0xffffffffffffffff
0x005cd0b7,x1,0x00000000005cd000
0xe990809b,x1,0x00000000005cce99
0x00c09093,x1,0x00000005cce99000
0xd1308093,x1,0x00000005cce98d13
0x01009093,x1,0x0005cce98d130000
0xd3d08093,x1,0x0005cce98d12fd3d
0x00c09093,x1,0x5cce98d12fd3d000
0xccb08093,x1,0x5cce98d12fd3cccb
0xfff00d1b,x26,0xffffffffffffffff
0x03fd1d13,x26,0x8000000000000000
0x005ed6b7,x13,0x00000000005ed000
0xf196869b,x13,0x00000000005ecf19
0x00c69693,x13,0x00000005ecf19000
0x29768693,x13,0x00000005ecf19297
0x00f69693,x13,0x0002f678c94b8000
0xbbb68693,x13,0x0002f678c94b7bbb
0x00c69693,x13,0x2f678c94b7bbb000
0x1a468693,x13,0x2f678c94b7bbb1a4
0xfff00993,x19,0xffffffffffffffff
0x00000393,x7,0x0000000000000000
0xfff0031b,x6,0xffffffffffffffff
0x03f31313,x6,0x8000000000000000
0x00284537,x10,0x0000000000284000
0x8895051b,x10,0x0000000000283889
0x00c51513,x10,0x0000000283889000
0x3d350513,x10,0x00000002838893d3
0x01051513,x10,0x0002838893d30000
0x32350513,x10,0x0002838893d30323
0x00c51513,x10,0x2838893d30323000
0xbe650513,x10,0x2838893d30322be6
0xfff00e93,x29,0xffffffffffffffff
0xfff0071b,x14,0xffffffffffffffff
0x03f71713,x14,0x8000000000000000
0x026395b3,x11,0x0000000000000000
0x02be873b,x14,0x0000000000000000
0x03a9ceb3,x29,0x0000000000000000
0x033379b3,x19,0x8000000000000000
